Country of Residence,Year,No of Arrivals per Occupation,Occupation,,,,,
    Russian,"2,019","283,424",Students,,,,,
    Russian,"2,019","54,438",Retired,,,,,
    Russian,"2,019",132,Others,,,,,
    Russian,"2,019",63,Not stated,,,,,
    Spain,"2,019","186,969",Total,,,,,
    Spain,"2,019","61,360",Professional,,,,,
    Spain,"2,019","23,870",Administrative and managerial,,,,,
    Spain,"2,019","16,426",Commercial personal and clerical,,,,,
    Spain,"2,019","48,956",Labourers production and service workers,,,,,
    Spain,"2,019",331,Agricultural workers,,,,,
    Spain,"2,019",931,Government,,,,,
    Spain,"2,019","1,026",House wife,,,,,
    Spain,"2,019","25,675",Students,,,,,
    Spain,"2,019","8,355",Retired,,,,,
    Spain,"2,019",10,Others,,,,,
    Spain,"2,019",29,Not stated,,,,,
    Sweden,"2,019","279,451",Total,,,,,
    Sweden,"2,019","51,510",Professional,,,,,
    Sweden,"2,019","35,451",Administrative and managerial,,,,,
    Sweden,"2,019","19,087",Commercial personal and clerical,,,,,
    Sweden,"2,019","81,792",Labourers production and service workers,,,,,
    Sweden,"2,019",790,Agricultural workers,,,,,
    Sweden,"2,019",415,Government,,,,,
    Sweden,"2,019","1,727",House wife,,,,,
    Sweden,"2,019","56,264",Students,,,,,
    Sweden,"2,019","32,344",Retired,,,,,
    Sweden,"2,019",32,Others,,,,,
    Sweden,"2,019",39,Not stated,,,,,
    Switzerland,"2,019","206,087",Total,,,,,
    Switzerland,"2,019","44,454",Professional,,,,,
    Switzerland,"2,019","30,421",Administrative and managerial,,,,,
    Switzerland,"2,019","16,893",Commercial personal and clerical,,,,,
    Switzerland,"2,019","55,955",Labourers production and service workers,,,,,
    Switzerland,"2,019",284,Agricultural workers,,,,,
    Switzerland,"2,019",237,Government,,,,,
    Switzerland,"2,019","3,184",House wife,,,,,
    Switzerland,"2,019","31,789",Students,,,,,
    Switzerland,"2,019","22,848",Retired,,,,,
    Switzerland,"2,019",5,Others,,,,,
    Switzerland,"2,019",17,Not stated,,,,,
    United Kingdom,"2,019","946,774",Total,,,,,
    United Kingdom,"2,019","275,320",Professional,,,,,
    United Kingdom,"2,019","138,168",Administrative and managerial,,,,,
    United Kingdom,"2,019","67,332",Commercial personal and clerical,,,,,
    United Kingdom,"2,019","198,342",Labourers production and service workers,,,,,
    United Kingdom,"2,019","1,108",Agricultural workers,,,,,
    United Kingdom,"2,019","5,707",Government,,,,,
    United Kingdom,"2,019","14,096",House wife,,,,,
    United Kingdom,"2,019","123,507",Students,,,,,
    United Kingdom,"2,019","123,075",Retired,,,,,
    United Kingdom,"2,019",62,Others,,,,,
    United Kingdom,"2,019",57,Not stated,,,,,
    East Europe,"2,019","532,911",Total,,,,,
    East Europe,"2,019","134,195",Professional,,,,,
    East Europe,"2,019","105,508",Administrative and managerial,,,,,
    East Europe,"2,019","46,736",Commercial personal and clerical,,,,,
    East Europe,"2,019","136,924",Labourers production and service workers,,,,,
    East Europe,"2,019",977,Agricultural workers,,,,,
    East Europe,"2,019",851,Government,,,,,
    East Europe,"2,019","4,880",House wife,,,,,
    East Europe,"2,019","83,004",Students,,,,,
    East Europe,"2,019","19,749",Retired,,,,,
    East Europe,"2,019",77,Others,,,,,
    East Europe,"2,019",10,Not stated,,,,,
    Others in Europe,"2,019","171,409",Total,,,,,
    Others in Europe,"2,019","51,877",Professional,,,,,
    Others in Europe,"2,019","24,935",Administrative and managerial,,,,,
    Others in Europe,"2,019","16,227",Commercial personal and clerical,,,,,
    Others in Europe,"2,019","42,592",Labourers production and service workers,,,,,
    Others in Europe,"2,019",282,Agricultural workers,,,,,
    Others in Europe,"2,019",768,Government,,,,,
    Others in Europe,"2,019","2,172",House wife,,,,,
    Others in Europe,"2,019","22,171",Students,,,,,
    Others in Europe,"2,019","10,323",Retired,,,,,
    Others in Europe,"2,019",49,Others,,,,,
    Others in Europe,"2,019",13,Not stated,,,,,
    Argentina,"2,019","28,183",Total,,,,,
    Argentina,"2,019","9,075",Professional,,,,,
    Argentina,"2,019","2,247",Administrative and managerial,,,,,
    Argentina,"2,019","2,306",Commercial personal and clerical,,,,,
    Argentina,"2,019","9,558",Labourers production and service workers,,,,,
    Argentina,"2,019",46,Agricultural workers,,,,,
    Argentina,"2,019",48,Government,,,,,
    Argentina,"2,019",123,House wife,,,,,
    Argentina,"2,019","3,798",Students,,,,,
    Argentina,"2,019",967,Retired,,,,,
    Argentina,"2,019",2,Others,,,,,
    Argentina,"2,019",13,Not stated,,,,,
    Brazil,"2,019","58,970",Total,,,,,
    Brazil,"2,019","23,770",Professional,,,,,
    Brazil,"2,019","7,037",Administrative and managerial,,,,,
    Brazil,"2,019","5,675",Commercial personal and clerical,,,,,
    Brazil,"2,019","11,689",Labourers production and service workers,,,,,
    Brazil,"2,019",67,Agricultural workers,,,,,
    Brazil,"2,019",899,Government,,,,,
    Brazil,"2,019",371,House wife,,,,,
    Brazil,"2,019","7,054",Students,,,,,
    Brazil,"2,019","2,386",Retired,,,,,
    Brazil,"2,019",3,Others,,,,,
    Brazil,"2,019",19,Not stated,,,,,
    Canada,"2,019","252,574",Total,,,,,
    Canada,"2,019","61,002",Professional,,,,,
    Canada,"2,019","30,765",Administrative and managerial,,,,,
    Canada,"2,019","22,718",Commercial personal and clerical,,,,,
    Canada,"2,019","56,630",Labourers production and service workers,,,,,
    Canada,"2,019",314,Agricultural workers,,,,,
    Canada,"2,019","1,145",Government,,,,,
    Canada,"2,019","4,527",House wife,,,,,
    Canada,"2,019","39,631",Students,,,,,
    Canada,"2,019","35,804",Retired,,,,,
    Canada,"2,019",30,Others,,,,,
    Canada,"2,019",8,Not stated,,,,,
USA,"2,019","1,136,210",Total,,,,,
USA,"2,019","323,563",Professional,,,,,
USA,"2,019","140,123",Administrative and managerial,,,,,
USA,"2,019","102,579",Commercial personal and clerical,,,,,
USA,"2,019","240,457",Labourers production and service workers,,,,,
USA,"2,019","1,160",Agricultural workers,,,,,
USA,"2,019","5,423",Government,,,,,
USA,"2,019","19,197",House wife,,,,,
USA,"2,019","169,050",Students,,,,,
USA,"2,019","134,469",Retired,,,,,
USA,"2,019",109,Others,,,,,
USA,"2,019",80,Not stated,,,,,
    Others in America,"2,019","83,863",Total,,,,,
    Others in America,"2,019","31,153",Professional,,,,,
    Others in America,"2,019","9,658",Administrative and managerial,,,,,
    Others in America,"2,019","7,562",Commercial personal and clerical,,,,,
    Others in America,"2,019","18,373",Labourers production and service workers,,,,,
    Others in America,"2,019",67,Agricultural workers,,,,,
    Others in America,"2,019",296,Government,,,,,
    Others in America,"2,019","1,468",House wife,,,,,
    Others in America,"2,019","11,971",Students,,,,,
    Others in America,"2,019","3,201",Retired,,,,,
    Others in America,"2,019",111,Others,,,,,
    Others in America,"2,019",3,Not stated,,,,,
    Bangladesh,"2,019","139,622",Total,,,,,
    Bangladesh,"2,019","10,952",Professional,,,,,
    Bangladesh,"2,019","7,523",Administrative and managerial,,,,,
    Bangladesh,"2,019","35,232",Commercial personal and clerical,,,,,
    Bangladesh,"2,019","30,541",Labourers production and service workers,,,,,
    Bangladesh,"2,019",38,Agricultural workers,,,,,
    Bangladesh,"2,019","1,707",Government,,,,,
    Bangladesh,"2,019","20,893",House wife,,,,,
    Bangladesh,"2,019","31,217",Students,,,,,
    Bangladesh,"2,019","1,509",Retired,,,,,
    Bangladesh,"2,019", - ,Others,,,,,
    Bangladesh,"2,019",10,Not stated,,,,,
    India,"2,019","1,961,069",Total,,,,,
    India,"2,019","220,481",Professional,,,,,
    India,"2,019","121,017",Administrative and managerial,,,,,
    India,"2,019","632,889",Commercial personal and clerical,,,,,
    India,"2,019","482,660",Labourers production and service workers,,,,,
    India,"2,019","5,941",Agricultural workers,,,,,
    India,"2,019","6,516",Government,,,,,
    India,"2,019","170,529",House wife,,,,,
    India,"2,019","271,824",Students,,,,,
    India,"2,019","48,987",Retired,,,,,
    India,"2,019",207,Others,,,,,
    India,"2,019",18,Not stated,,,,,
    Nepal,"2,019","60,428",Total,,,,,
    Nepal,"2,019","8,726",Professional,,,,,
    Nepal,"2,019","3,859",Administrative and managerial,,,,,
    Nepal,"2,019","18,600",Commercial personal and clerical,,,,,
    Nepal,"2,019","12,936",Labourers production and service workers,,,,,
    Nepal,"2,019",218,Agricultural workers,,,,,
    Nepal,"2,019",866,Government,,,,,
    Nepal,"2,019","3,565",House wife,,,,,
    Nepal,"2,019","10,561",Students,,,,,
    Nepal,"2,019","1,064",Retired,,,,,
    Nepal,"2,019",19,Others,,,,,
    Nepal,"2,019",14,Not stated,,,,,
    Pakistan,"2,019","71,917",Total,,,,,
    Pakistan,"2,019","10,369",Professional,,,,,
    Pakistan,"2,019","6,943",Administrative and managerial,,,,,
    Pakistan,"2,019","20,104",Commercial personal and clerical,,,,,
    Pakistan,"2,019","13,828",Labourers production and service workers,,,,,
    Pakistan,"2,019",98,Agricultural workers,,,,,
    Pakistan,"2,019",548,Government,,,,,
    Pakistan,"2,019","7,170",House wife,,,,,
    Pakistan,"2,019","12,004",Students,,,,,
    Pakistan,"2,019",842,Retired,,,,,
    Pakistan,"2,019", - ,Others,,,,,
    Pakistan,"2,019",11,Not stated,,,,,
    Sri Lanka,"2,019","70,247",Total,,,,,
    Sri Lanka,"2,019","15,569",Professional,,,,,
    Sri Lanka,"2,019","10,123",Administrative and managerial,,,,,
    Sri Lanka,"2,019","16,992",Commercial personal and clerical,,,,,
    Sri Lanka,"2,019","10,549",Labourers production and service workers,,,,,
    Sri Lanka,"2,019",71,Agricultural workers,,,,,
    Sri Lanka,"2,019",102,Government,,,,,
    Sri Lanka,"2,019","2,874",House wife,,,,,
    Sri Lanka,"2,019","11,088",Students,,,,,
    Sri Lanka,"2,019","2,869",Retired,,,,,
    Sri Lanka,"2,019", - ,Others,,,,,
    Sri Lanka,"2,019",10,Not stated,,,,,
    Others in Asia,"2,019","53,694",Total,,,,,
    Others in Asia,"2,019","8,711",Professional,,,,,
    Others in Asia,"2,019","5,425",Administrative and managerial,,,,,
    Others in Asia,"2,019","8,353",Commercial personal and clerical,,,,,
    Others in Asia,"2,019","13,448",Labourers production and service workers,,,,,
    Others in Asia,"2,019",215,Agricultural workers,,,,,
    Others in Asia,"2,019","4,086",Government,,,,,
    Others in Asia,"2,019","2,384",House wife,,,,,
    Others in Asia,"2,019","10,017",Students,,,,,
    Others in Asia,"2,019","1,050",Retired,,,,,
    Others in Asia,"2,019",5,Others,,,,,
    Others in Asia,"2,019", - ,Not stated,,,,,
    Australia,"2,019","771,798",Total,,,,,
    Australia,"2,019","183,736",Professional,,,,,
    Australia,"2,019","114,143",Administrative and managerial,,,,,
    Australia,"2,019","58,841",Commercial personal and clerical,,,,,
    Australia,"2,019","184,146",Labourers production and service workers,,,,,
    Australia,"2,019","1,985",Agricultural workers,,,,,
    Australia,"2,019","3,533",Government,,,,,
    Australia,"2,019","12,870",House wife,,,,,
    Australia,"2,019","129,818",Students,,,,,
    Australia,"2,019","82,567",Retired,,,,,
    Australia,"2,019",54,Others,,,,,
    Australia,"2,019",105,Not stated,,,,,
    New Zealand,"2,019","93,740",Total,,,,,
    New Zealand,"2,019","24,563",Professional,,,,,
    New Zealand,"2,019","14,437",Administrative and managerial,,,,,
    New Zealand,"2,019","7,401",Commercial personal and clerical,,,,,
    New Zealand,"2,019","20,104",Labourers production and service workers,,,,,
    New Zealand,"2,019",616,Agricultural workers,,,,,
    New Zealand,"2,019",301,Government,,,,,
    New Zealand,"2,019","1,930",House wife,,,,,
    New Zealand,"2,019","15,172",Students,,,,,
    New Zealand,"2,019","9,200",Retired,,,,,
    New Zealand,"2,019",4,Others,,,,,
    New Zealand,"2,019",12,Not stated,,,,,
Others in Oceania,"2,019","8,616",Total,,,,,
Others in Oceania,"2,019","2,324",Professional,,,,,
Others in Oceania,"2,019","1,412",Administrative and managerial,,,,,
Others in Oceania,"2,019",842,Commercial personal and clerical,,,,,
Others in Oceania,"2,019","1,916",Labourers production and service workers,,,,,
Others in Oceania,"2,019",17,Agricultural workers,,,,,
Others in Oceania,"2,019",152,Government,,,,,
Others in Oceania,"2,019",101,House wife,,,,,
Others in Oceania,"2,019",963,Students,,,,,
Others in Oceania,"2,019",856,Retired,,,,,
Others in Oceania,"2,019",33,Others,,,,,
Others in Oceania,"2,019", - ,Not stated,,,,,
    Egypt,"2,019","19,010",Total,,,,,
    Egypt,"2,019","5,392",Professional,,,,,
    Egypt,"2,019","2,944",Administrative and managerial,,,,,
    Egypt,"2,019","1,518",Commercial personal and clerical,,,,,
    Egypt,"2,019","5,009",Labourers production and service workers,,,,,
    Egypt,"2,019",3,Agricultural workers,,,,,
    Egypt,"2,019",50,Government,,,,,
    Egypt,"2,019",243,House wife,,,,,
    Egypt,"2,019","3,282",Students,,,,,
    Egypt,"2,019",554,Retired,,,,,
    Egypt,"2,019",2,Others,,,,,
    Egypt,"2,019",13,Not stated,,,,,
    Israel,"2,019","194,081",Total,,,,,
    Israel,"2,019","39,229",Professional,,,,,
    Israel,"2,019","22,323",Administrative and managerial,,,,,
    Israel,"2,019","15,669",Commercial personal and clerical,,,,,
    Israel,"2,019","48,428",Labourers production and service workers,,,,,
    Israel,"2,019",358,Agricultural workers,,,,,
    Israel,"2,019",260,Government,,,,,
    Israel,"2,019",796,House wife,,,,,
    Israel,"2,019","55,245",Students,,,,,
    Israel,"2,019","11,724",Retired,,,,,
    Israel,"2,019",6,Others,,,,,
    Israel,"2,019",43,Not stated,,,,,
    Kuwait,"2,019","84,504",Total,,,,,
    Kuwait,"2,019","11,793",Professional,,,,,
    Kuwait,"2,019","6,743",Administrative and managerial,,,,,
    Kuwait,"2,019","4,913",Commercial personal and clerical,,,,,
    Kuwait,"2,019","26,324",Labourers production and service workers,,,,,
    Kuwait,"2,019",20,Agricultural workers,,,,,
    Kuwait,"2,019",247,Government,,,,,
    Kuwait,"2,019","2,671",House wife,,,,,
    Kuwait,"2,019","25,616",Students,,,,,
    Kuwait,"2,019","6,169",Retired,,,,,
    Kuwait,"2,019",1,Others,,,,,
    Kuwait,"2,019",7,Not stated,,,,,
    Saudi Arabia,"2,019","36,783",Total,,,,,
    Saudi Arabia,"2,019","8,012",Professional,,,,,
    Saudi Arabia,"2,019","3,833",Administrative and managerial,,,,,
    Saudi Arabia,"2,019","3,635",Commercial personal and clerical,,,,,
    Saudi Arabia,"2,019","10,447",Labourers production and service workers,,,,,
    Saudi Arabia,"2,019",39,Agricultural workers,,,,,
    Saudi Arabia,"2,019",125,Government,,,,,
    Saudi Arabia,"2,019","1,328",House wife,,,,,
    Saudi Arabia,"2,019","8,235",Students,,,,,
    Saudi Arabia,"2,019","1,120",Retired,,,,,
    Saudi Arabia,"2,019",1,Others,,,,,
    Saudi Arabia,"2,019",8,Not stated,,,,,
    United Arab Emirates,"2,019","145,530",Total,,,,,
    United Arab Emirates,"2,019","22,605",Professional,,,,,
    United Arab Emirates,"2,019","18,092",Administrative and managerial,,,,,
    United Arab Emirates,"2,019","13,527",Commercial personal and clerical,,,,,
    United Arab Emirates,"2,019","40,188",Labourers production and service workers,,,,,
    United Arab Emirates,"2,019",11,Agricultural workers,,,,,
    United Arab Emirates,"2,019",556,Government,,,,,
    United Arab Emirates,"2,019","7,021",House wife,,,,,
    United Arab Emirates,"2,019","38,357",Students,,,,,
    United Arab Emirates,"2,019","5,148",Retired,,,,,
    United Arab Emirates,"2,019",5,Others,,,,,
    United Arab Emirates,"2,019",20,Not stated,,,,,
    Others in Middle East,"2,019","247,410",Total,,,,,
    Others in Middle East,"2,019","44,974",Professional,,,,,
    Others in Middle East,"2,019","28,841",Administrative and managerial,,,,,
    Others in Middle East,"2,019","25,037",Commercial personal and clerical,,,,,
    Others in Middle East,"2,019","73,211",Labourers production and service workers,,,,,
    Others in Middle East,"2,019",192,Agricultural workers,,,,,
    Others in Middle East,"2,019",977,Government,,,,,
    Others in Middle East,"2,019","8,349",House wife,,,,,
    Others in Middle East,"2,019","55,107",Students,,,,,
    Others in Middle East,"2,019","10,641",Retired,,,,,
    Others in Middle East,"2,019",72,Others,,,,,
    Others in Middle East,"2,019",9,Not stated,,,,,
 South Africa,"2,019","89,750",Total,,,,,
 South Africa,"2,019","25,957",Professional,,,,,
 South Africa,"2,019","15,310",Administrative and managerial,,,,,
 South Africa,"2,019","10,266",Commercial personal and clerical,,,,,
 South Africa,"2,019","16,186",Labourers production and service workers,,,,,
 South Africa,"2,019",335,Agricultural workers,,,,,
 South Africa,"2,019",154,Government,,,,,
 South Africa,"2,019","1,981",House wife,,,,,
 South Africa,"2,019","12,796",Students,,,,,
 South Africa,"2,019","6,750",Retired,,,,,
 South Africa,"2,019",8,Others,,,,,
 South Africa,"2,019",7,Not stated,,,,,
    Others in Africa,"2,019","107,069",Total,,,,,
    Others in Africa,"2,019","21,574",Professional,,,,,
    Others in Africa,"2,019","13,698",Administrative and managerial,,,,,
    Others in Africa,"2,019","19,032",Commercial personal and clerical,,,,,
    Others in Africa,"2,019","27,243",Labourers production and service workers,,,,,
    Others in Africa,"2,019",118,Agricultural workers,,,,,
    Others in Africa,"2,019","1,628",Government,,,,,
    Others in Africa,"2,019","2,780",House wife,,,,,
    Others in Africa,"2,019","16,338",Students,,,,,
    Others in Africa,"2,019","4,495",Retired,,,,,
    Others in Africa,"2,019",162,Others,,,,,
    Others in Africa,"2,019",1,Not stated,,,,,
        Brunai,"2,020","2,444",Total,,,,,
        Brunai,"2,020",531,Professional,,,,,
        Brunai,"2,020",335,Administrative and managerial,,,,,
        Brunai,"2,020",269,Commercial personal and clerical,,,,,
        Brunai,"2,020",603,Labourers production and service workers,,,,,
        Brunai,"2,020",3,Agricultural workers,,,,,
        Brunai,"2,020",65,Government,,,,,
        Brunai,"2,020",82,House wife,,,,,
        Brunai,"2,020",389,Students,,,,,
        Brunai,"2,020",165,Retired,,,,,
        Brunai,"2,020", - ,Others,,,,,
        Brunai,"2,020",2,Not stated,,,,,
        Cambodia,"2,020","164,270",Total,,,,,
        Cambodia,"2,020","23,999",Professional,,,,,
        Cambodia,"2,020","11,856",Administrative and managerial,,,,,
        Cambodia,"2,020","29,404",Commercial personal and clerical,,,,,
        Cambodia,"2,020","54,413",Labourers production and service workers,,,,,
        Cambodia,"2,020","6,293",Agricultural workers,,,,,
        Cambodia,"2,020",797,Government,,,,,
        Cambodia,"2,020","8,471",House wife,,,,,
        Cambodia,"2,020","24,701",Students,,,,,
        Cambodia,"2,020","4,333",Retired,,,,,
        Cambodia,"2,020", - ,Others,,,,,
        Cambodia,"2,020",3,Not stated,,,,,
        Indonesia,"2,020","96,993",Total,,,,,
        Indonesia,"2,020","13,732",Professional,,,,,
        Indonesia,"2,020","10,622",Administrative and managerial,,,,,
        Indonesia,"2,020","7,423",Commercial personal and clerical,,,,,
        Indonesia,"2,020","38,108",Labourers production and service workers,,,,,
        Indonesia,"2,020",47,Agricultural workers,,,,,
        Indonesia,"2,020",764,Government,,,,,
        Indonesia,"2,020","7,878",House wife,,,,,
        Indonesia,"2,020","16,248",Students,,,,,
        Indonesia,"2,020","2,161",Retired,,,,,
        Indonesia,"2,020", - ,Others,,,,,
        Indonesia,"2,020",10,Not stated,,,,,
        Laos,"2,020","382,246",Total,,,,,
        Laos,"2,020","57,139",Professional,,,,,
        Laos,"2,020","22,618",Administrative and managerial,,,,,
        Laos,"2,020","28,684",Commercial personal and clerical,,,,,
        Laos,"2,020","174,055",Labourers production and service workers,,,,,
        Laos,"2,020","13,576",Agricultural workers,,,,,
        Laos,"2,020","1,300",Government,,,,,
        Laos,"2,020","13,719",House wife,,,,,
        Laos,"2,020","54,336",Students,,,,,
        Laos,"2,020","16,817",Retired,,,,,
        Laos,"2,020", - ,Others,,,,,
        Laos,"2,020",2,Not stated,,,,,
        Malaysia,"2,020","612,922",Total,,,,,
        Malaysia,"2,020","133,691",Professional,,,,,
        Malaysia,"2,020","128,432",Administrative and managerial,,,,,
        Malaysia,"2,020","95,061",Commercial personal and clerical,,,,,
        Malaysia,"2,020","104,551",Labourers production and service workers,,,,,
        Malaysia,"2,020","1,185",Agricultural workers,,,,,
        Malaysia,"2,020",814,Government,,,,,
        Malaysia,"2,020","48,515",House wife,,,,,
        Malaysia,"2,020","87,487",Students,,,,,
        Malaysia,"2,020","13,156",Retired,,,,,
        Malaysia,"2,020",27,Others,,,,,
        Malaysia,"2,020",3,Not stated,,,,,
        Myanmar,"2,020","54,941",Total,,,,,
        Myanmar,"2,020","10,067",Professional,,,,,
        Myanmar,"2,020","6,045",Administrative and managerial,,,,,
        Myanmar,"2,020","9,239",Commercial personal and clerical,,,,,
        Myanmar,"2,020","17,427",Labourers production and service workers,,,,,
        Myanmar,"2,020",173,Agricultural workers,,,,,
        Myanmar,"2,020",71,Government,,,,,
        Myanmar,"2,020",747,House wife,,,,,
        Myanmar,"2,020","8,554",Students,,,,,
        Myanmar,"2,020","2,609",Retired,,,,,
        Myanmar,"2,020",6,Others,,,,,
        Myanmar,"2,020",3,Not stated,,,,,
        Philippines,"2,020","68,359",Total,,,,,
        Philippines,"2,020","17,602",Professional,,,,,
        Philippines,"2,020","10,283",Administrative and managerial,,,,,
        Philippines,"2,020","8,796",Commercial personal and clerical,,,,,
        Philippines,"2,020","20,162",Labourers production and service workers,,,,,
        Philippines,"2,020",285,Agricultural workers,,,,,
        Philippines,"2,020",214,Government,,,,,
        Philippines,"2,020","2,694",House wife,,,,,
        Philippines,"2,020","5,378",Students,,,,,
        Philippines,"2,020","2,945",Retired,,,,,
        Philippines,"2,020", - ,Others,,,,,
        Philippines,"2,020", - ,Not stated,,,,,
        Singapore,"2,020","132,511",Total,,,,,
        Singapore,"2,020","34,156",Professional,,,,,
        Singapore,"2,020","28,657",Administrative and managerial,,,,,
        Singapore,"2,020","14,110",Commercial personal and clerical,,,,,
        Singapore,"2,020","24,266",Labourers production and service workers,,,,,
        Singapore,"2,020",36,Agricultural workers,,,,,
        Singapore,"2,020","1,120",Government,,,,,
        Singapore,"2,020","5,522",House wife,,,,,
        Singapore,"2,020","17,127",Students,,,,,
        Singapore,"2,020","7,512",Retired,,,,,
        Singapore,"2,020", - ,Others,,,,,
        Singapore,"2,020",5,Not stated,,,,,
        Vietnam,"2,020","131,308",Total,,,,,
        Vietnam,"2,020","16,670",Professional,,,,,
        Vietnam,"2,020","13,268",Administrative and managerial,,,,,
        Vietnam,"2,020","18,945",Commercial personal and clerical,,,,,
        Vietnam,"2,020","55,897",Labourers production and service workers,,,,,
        Vietnam,"2,020",348,Agricultural workers,,,,,
        Vietnam,"2,020",138,Government,,,,,
        Vietnam,"2,020","1,698",House wife,,,,,
        Vietnam,"2,020","19,220",Students,,,,,
        Vietnam,"2,020","5,023",Retired,,,,,
        Vietnam,"2,020",81,Others,,,,,
        Vietnam,"2,020",20,Not stated,,,,,
    China,"2,020","1,302,137",Total,,,,,
    China,"2,020","178,858",Professional,,,,,
    China,"2,020","95,387",Administrative and managerial,,,,,
    China,"2,020","99,155",Commercial personal and clerical,,,,,
    China,"2,020","644,511",Labourers production and service workers,,,,,
    China,"2,020","1,614",Agricultural workers,,,,,
    China,"2,020","3,602",Government,,,,,
    China,"2,020","8,080",House wife,,,,,
    China,"2,020","226,965",Students,,,,,
    China,"2,020","42,820",Retired,,,,,
    China,"2,020","1,082",Others,,,,,
    China,"2,020",63,Not stated,,,,,
    Hong Kong,"2,020","131,988",Total,,,,,
    Hong Kong,"2,020","23,289",Professional,,,,,
    Hong Kong,"2,020","18,096",Administrative and managerial,,,,,
    Hong Kong,"2,020","22,792",Commercial personal and clerical,,,,,
    Hong Kong,"2,020","29,782",Labourers production and service workers,,,,,
    Hong Kong,"2,020",75,Agricultural workers,,,,,
    Hong Kong,"2,020",900,Government,,,,,
    Hong Kong,"2,020","8,485",House wife,,,,,
    Hong Kong,"2,020","20,741",Students,,,,,
    Hong Kong,"2,020","7,822",Retired,,,,,
    Hong Kong,"2,020", - ,Others,,,,,
    Hong Kong,"2,020",6,Not stated,,,,,
    Japan,"2,020","314,044",Total,,,,,
    Japan,"2,020","34,766",Professional,,,,,
    Japan,"2,020","29,839",Administrative and managerial,,,,,
    Japan,"2,020","30,777",Commercial personal and clerical,,,,,
    Japan,"2,020","147,521",Labourers production and service workers,,,,,
    Japan,"2,020",728,Agricultural workers,,,,,
    Japan,"2,020",682,Government,,,,,
    Japan,"2,020","11,603",House wife,,,,,
    Japan,"2,020","43,357",Students,,,,,
    Japan,"2,020","14,766",Retired,,,,,
    Japan,"2,020", - ,Others,,,,,
    Japan,"2,020",5,Not stated,,,,,
    Korea,"2,020","262,313",Total,,,,,
    Korea,"2,020","36,491",Professional,,,,,
    Korea,"2,020","19,212",Administrative and managerial,,,,,
    Korea,"2,020","47,681",Commercial personal and clerical,,,,,
    Korea,"2,020","77,250",Labourers production and service workers,,,,,
    Korea,"2,020","1,146",Agricultural workers,,,,,
    Korea,"2,020",444,Government,,,,,
    Korea,"2,020","23,164",House wife,,,,,
    Korea,"2,020","48,661",Students,,,,,
    Korea,"2,020","8,223",Retired,,,,,
    Korea,"2,020",32,Others,,,,,
    Korea,"2,020",9,Not stated,,,,,
    Taiwan,"2,020","114,275",Total,,,,,
    Taiwan,"2,020","16,596",Professional,,,,,
    Taiwan,"2,020","11,396",Administrative and managerial,,,,,
    Taiwan,"2,020","23,151",Commercial personal and clerical,,,,,
    Taiwan,"2,020","28,866",Labourers production and service workers,,,,,
    Taiwan,"2,020",62,Agricultural workers,,,,,
    Taiwan,"2,020",120,Government,,,,,
    Taiwan,"2,020","3,653",House wife,,,,,
    Taiwan,"2,020","24,172",Students,,,,,
    Taiwan,"2,020","6,163",Retired,,,,,
    Taiwan,"2,020",87,Others,,,,,
    Taiwan,"2,020",9,Not stated,,,,,
    Others in East,"2,020","15,299",Total,,,,,
    Others in East,"2,020","3,404",Professional,,,,,
    Others in East,"2,020","1,701",Administrative and managerial,,,,,
    Others in East,"2,020","1,806",Commercial personal and clerical,,,,,
    Others in East,"2,020","3,741",Labourers production and service workers,,,,,
    Others in East,"2,020",4,Agricultural workers,,,,,
    Others in East,"2,020",124,Government,,,,,
    Others in East,"2,020",333,House wife,,,,,
    Others in East,"2,020","3,180",Students,,,,,
    Others in East,"2,020","1,003",Retired,,,,,
    Others in East,"2,020",1,Others,,,,,
    Others in East,"2,020",2,Not stated,,,,,
    Austria,"2,020","34,599",Total,,,,,
    Austria,"2,020","6,762",Professional,,,,,
    Austria,"2,020","5,206",Administrative and managerial,,,,,
    Austria,"2,020","1,909",Commercial personal and clerical,,,,,
    Austria,"2,020","11,249",Labourers production and service workers,,,,,
    Austria,"2,020",173,Agricultural workers,,,,,
    Austria,"2,020",56,Government,,,,,
    Austria,"2,020",142,House wife,,,,,
    Austria,"2,020","3,548",Students,,,,,
    Austria,"2,020","5,550",Retired,,,,,
    Austria,"2,020", - ,Others,,,,,
    Austria,"2,020",4,Not stated,,,,,
    Belgium,"2,020","25,872",Total,,,,,
    Belgium,"2,020","5,284",Professional,,,,,
    Belgium,"2,020","3,693",Administrative and managerial,,,,,
    Belgium,"2,020","1,417",Commercial personal and clerical,,,,,
    Belgium,"2,020","9,073",Labourers production and service workers,,,,,
    Belgium,"2,020",39,Agricultural workers,,,,,
    Belgium,"2,020",85,Government,,,,,
    Belgium,"2,020",256,House wife,,,,,
    Belgium,"2,020","2,222",Students,,,,,
    Belgium,"2,020","3,792",Retired,,,,,
    Belgium,"2,020", - ,Others,,,,,
    Belgium,"2,020",11,Not stated,,,,,
    Denmark,"2,020","62,962",Total,,,,,
    Denmark,"2,020","12,060",Professional,,,,,
    Denmark,"2,020","7,469",Administrative and managerial,,,,,
    Denmark,"2,020","3,342",Commercial personal and clerical,,,,,
    Denmark,"2,020","15,576",Labourers production and service workers,,,,,
